19:27:22.200 [main] INFO  c.h.journalApp.JournalApplication - Starting JournalApplication using Java 19.0.1 with PID 28664 (C:\Users\harsha\Downloads\journalApp\journalApp\target\classes started by harsha in C:\Users\harsha\Downloads\journalApp\journalApp)
19:27:24.735 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/19.0.1+10-21"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='harshavardhan75anc', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@19e21f89, com.mongodb.Jep395RecordCodecProvider@31e739bf, com.mongodb.KotlinCodecProvider@29079032]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.e3da1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-w435lw-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
19:27:24.750 [cluster-ClusterId{value='679b854452458e4771852b30', description='Cluster0'}-srv-cluster0.e3da1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.e3da1.mongodb.net:27017 to client view of cluster
19:27:24.756 [cluster-ClusterId{value='679b854452458e4771852b30', description='Cluster0'}-srv-cluster0.e3da1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.e3da1.mongodb.net:27017 to client view of cluster
19:27:25.186 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 7. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-02.e3da1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.e3da1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.e3da1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
19:27:25.479 [cluster-ClusterId{value='679b854452458e4771852b30', description='Cluster0'}-cluster0-shard-00-01.e3da1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.e3da1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=406465900, setName='atlas-w435lw-shard-0', canonicalAddress=cluster0-shard-00-01.e3da1.mongodb.net:27017, hosts=[cluster0-shard-00-00.e3da1.mongodb.net:27017, cluster0-shard-00-02.e3da1.mongodb.net:27017, cluster0-shard-00-01.e3da1.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.e3da1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=224, topologyVersion=TopologyVersion{processId=6799085ee37ce50e2714f5c9, counter=3}, lastWriteDate=Thu Jan 30 19:27:25 IST 2025, lastUpdateTimeNanos=22629222982100}
19:27:25.479 [cluster-ClusterId{value='679b854452458e4771852b30', description='Cluster0'}-cluster0-shard-00-02.e3da1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.e3da1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=406480800, setName='atlas-w435lw-shard-0', canonicalAddress=cluster0-shard-00-02.e3da1.mongodb.net:27017, hosts=[cluster0-shard-00-00.e3da1.mongodb.net:27017, cluster0-shard-00-02.e3da1.mongodb.net:27017, cluster0-shard-00-01.e3da1.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.e3da1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000d3, setVersion=224, topologyVersion=TopologyVersion{processId=6799063f16d314762281e6da, counter=6}, lastWriteDate=Thu Jan 30 19:27:25 IST 2025, lastUpdateTimeNanos=22629222981900}
19:27:25.479 [cluster-ClusterId{value='679b854452458e4771852b30', description='Cluster0'}-cluster0-shard-00-00.e3da1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.e3da1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=406501300, setName='atlas-w435lw-shard-0', canonicalAddress=cluster0-shard-00-00.e3da1.mongodb.net:27017, hosts=[cluster0-shard-00-00.e3da1.mongodb.net:27017, cluster0-shard-00-02.e3da1.mongodb.net:27017, cluster0-shard-00-01.e3da1.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.e3da1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=224, topologyVersion=TopologyVersion{processId=6799073df1adbf601f0501fd, counter=4}, lastWriteDate=Thu Jan 30 19:27:25 IST 2025, lastUpdateTimeNanos=22629222982000}
19:27:25.484 [cluster-ClusterId{value='679b854452458e4771852b30', description='Cluster0'}-cluster0-shard-00-02.e3da1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.e3da1.mongodb.net:27017 with max election id 7fffffff00000000000000d3 and max set version 224
19:27:26.133 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
19:27:26.133 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
19:27:28.373 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
19:27:28.400 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/journal'
19:27:28.409 [main] INFO  c.h.journalApp.JournalApplication - Started JournalApplication in 6.873 seconds (process running for 7.999)
